Date,Price,Aporte,Aporte Neto,Titulos Comprados,Tit Acumulados,Valor Neto
01/01/2021,"3,714.24", $500.00 , $351.25 ,0.0946,0.0946, $351.25 
01/02/2021,"3,811.15", $500.00 , $376.25 ,0.0987,0.1933, $736.66 
01/03/2021,"3,972.89", $500.00 , $376.25 ,0.0947,0.2880," $1,144.18 "
01/04/2021,"4,181.17", $500.00 , $376.25 ,0.0900,0.3780," $1,580.41 "
01/05/2021,"4,204.11", $500.00 , $376.25 ,0.0895,0.4675," $1,965.33 "
01/06/2021,"4,297.50", $500.00 , $376.25 ,0.0876,0.5550," $2,385.24 "
01/07/2021,"4,395.26", $500.00 , $376.25 ,0.0856,0.6406," $2,815.75 "
01/08/2021,"4,522.68", $500.00 , $376.25 ,0.0832,0.7238," $3,273.63 "
01/09/2021,"4,307.54", $500.00 , $376.25 ,0.0873,0.8112," $3,494.16 "
01/10/2021,"4,605.38", $500.00 , $376.25 ,0.0817,0.8929," $4,112.01 "
01/11/2021,"4,567.00", $500.00 , $376.25 ,0.0824,0.9753," $4,453.99 "
01/12/2021,"4,766.18", $500.00 , $376.25 ,0.0789,1.0542," $5,024.49 "
01/01/2022,"4,515.55", $500.00 , $469.05 ,0.1039,1.1581," $5,229.32 "
01/02/2022,"4,373.94", $500.00 , $500.00 ,0.1143,1.2724," $5,565.33 "
01/03/2022,"4,530.41", $500.00 , $500.00 ,0.1104,1.3827," $6,264.42 "
01/04/2022,"4,131.93", $500.00 , $500.00 ,0.1210,1.5038," $6,213.42 "
01/05/2022,"4,132.15", $500.00 , $500.00 ,0.1210,1.6248," $6,713.75 "
01/06/2022,"3,785.38", $500.00 , $500.00 ,0.1321,1.7568," $6,650.34 "
01/07/2022,"4,130.29", $500.00 , $500.00 ,0.1211,1.8779," $7,756.29 "
01/08/2022,"3,955.00", $500.00 , $500.00 ,0.1264,2.0043," $7,927.11 "
01/09/2022,"3,585.62", $500.00 , $500.00 ,0.1394,2.1438," $7,686.75 "
01/10/2022,"3,871.98", $500.00 , $500.00 ,0.1291,2.2729," $8,800.64 "
01/11/2022,"4,080.11", $500.00 , $500.00 ,0.1225,2.3955," $9,773.70 "
01/12/2022,"3,839.50", $500.00 , $500.00 ,0.1302,2.5257," $9,697.33 "
01/01/2023,"4,076.60", $500.00 , $500.00 ,0.1227,2.6483," $10,796.17 "
01/02/2023,"3,970.15", $500.00 , $500.00 ,0.1259,2.7743," $11,014.26 "
01/03/2023,"4,109.31", $500.00 , $500.00 ,0.1217,2.8959," $11,900.32 "
01/04/2023,"4,169.48", $500.00 , $500.00 ,0.1199,3.0159," $12,574.57 "
01/05/2023,"4,179.83", $500.00 , $500.00 ,0.1196,3.1355," $13,105.79 "
01/06/2023,"4,450.38", $500.00 , $500.00 ,0.1123,3.2478," $14,454.09 "
01/07/2023,"4,588.96", $500.00 , $500.00 ,0.1090,3.3568," $15,404.18 "
01/08/2023,"4,507.66", $500.00 , $500.00 ,0.1109,3.4677," $15,631.27 "
