Date,Price,Aporte,Aporte Neto,Titulos Comprados,Tit Acumulados,Valor Neto
01/01/2007,"1,438.20", $500.00 , $4.75 ,0.0033,0.0033, $4.75 
01/02/2007,"1,406.80", $500.00 , $29.75 ,0.0211,0.0245, $34.40 
01/03/2007,"1,420.90", $500.00 , $29.75 ,0.0209,0.0454, $64.49 
01/04/2007,"1,482.40", $500.00 , $29.75 ,0.0201,0.0655, $97.03 
01/05/2007,"1,530.60", $500.00 , $29.75 ,0.0194,0.0849, $129.94 
01/06/2007,"1,503.30", $500.00 , $29.75 ,0.0198,0.1047, $157.37 
01/07/2007,"1,455.30", $500.00 , $29.75 ,0.0204,0.1251, $182.10 
01/08/2007,"1,474.00", $500.00 , $29.75 ,0.0202,0.1453, $214.18 
01/09/2007,"1,526.80", $500.00 , $29.75 ,0.0195,0.1648, $251.61 
01/10/2007,"1,549.40", $500.00 , $29.75 ,0.0192,0.1840, $285.08 
01/11/2007,"1,481.10", $500.00 , $29.75 ,0.0201,0.2041, $302.26 
01/12/2007,"1,468.40", $500.00 , $29.75 ,0.0203,0.2243, $329.42 
01/01/2008,"1,378.50", $500.00 , $382.45 ,0.2774,0.5018, $691.70 
01/02/2008,"1,330.60", $500.00 , $382.45 ,0.2874,0.7892," $1,050.12 "
01/03/2008,"1,322.70", $500.00 , $382.45 ,0.2891,1.0784," $1,426.33 "
01/04/2008,"1,385.60", $500.00 , $382.45 ,0.2760,1.3544," $1,876.61 "
01/05/2008,"1,400.40", $500.00 , $382.45 ,0.2731,1.6275," $2,279.11 "
01/06/2008,"1,280.00", $500.00 , $382.45 ,0.2988,1.9263," $2,465.61 "
01/07/2008,"1,267.40", $500.00 , $382.45 ,0.3018,2.2280," $2,823.79 "
01/08/2008,"1,282.80", $500.00 , $382.45 ,0.2981,2.5262," $3,240.55 "
01/09/2008,"1,166.40", $500.00 , $382.45 ,0.3279,2.8540," $3,328.96 "
01/10/2008,968.8, $500.00 , $382.45 ,0.3948,3.2488," $3,147.45 "
01/11/2008,896.2, $500.00 , $382.45 ,0.4267,3.6756," $3,294.03 "
01/12/2008,903.2, $500.00 , $382.45 ,0.4234,4.0990," $3,702.21 "
01/01/2009,825.9, $500.00 , $500.00 ,0.6054,4.7044," $3,885.36 "
01/02/2009,735.1, $500.00 , $500.00 ,0.6802,5.3846," $3,958.20 "
01/03/2009,797.9, $500.00 , $500.00 ,0.6266,6.0112," $4,796.35 "
01/04/2009,872.8, $500.00 , $500.00 ,0.5729,6.5841," $5,746.59 "
01/05/2009,919.1, $500.00 , $500.00 ,0.5440,7.1281," $6,551.44 "
01/06/2009,919.3, $500.00 , $500.00 ,0.5439,7.6720," $7,052.86 "
01/07/2009,987.5, $500.00 , $500.00 ,0.5063,8.1783," $8,076.09 "
01/08/2009,"1,020.60", $500.00 , $500.00 ,0.4899,8.6682," $8,846.79 "
01/09/2009,"1,057.10", $500.00 , $500.00 ,0.4730,9.1412," $9,663.18 "
01/10/2009,"1,036.20", $500.00 , $500.00 ,0.4825,9.6238," $9,972.13 "
01/11/2009,"1,095.60", $500.00 , $500.00 ,0.4564,10.0801," $11,043.78 "
01/12/2009,"1,115.10", $500.00 , $500.00 ,0.4484,10.5285," $11,740.35 "
01/01/2010,"1,073.90", $500.00 , $500.00 ,0.4656,10.9941," $11,806.57 "
01/02/2010,"1,104.50", $500.00 , $500.00 ,0.4527,11.4468," $12,642.99 "
01/03/2010,"1,169.40", $500.00 , $500.00 ,0.4276,11.8744," $13,885.89 "
01/04/2010,"1,186.70", $500.00 , $500.00 ,0.4213,12.2957," $14,591.32 "
01/05/2010,"1,089.40", $500.00 , $500.00 ,0.4590,12.7547," $13,894.94 "
01/06/2010,"1,030.70", $500.00 , $500.00 ,0.4851,13.2398," $13,646.24 "
01/07/2010,"1,101.60", $500.00 , $500.00 ,0.4539,13.6937," $15,084.94 "
01/08/2010,"1,049.30", $500.00 , $500.00 ,0.4765,14.1702," $14,868.77 "
01/09/2010,"1,141.20", $500.00 , $500.00 ,0.4381,14.6083," $16,671.00 "
01/10/2010,"1,183.30", $500.00 , $500.00 ,0.4225,15.0309," $17,786.01 "
01/11/2010,"1,180.50", $500.00 , $500.00 ,0.4235,15.4544," $18,243.93 "
01/12/2010,"1,257.60", $500.00 , $500.00 ,0.3976,15.8520," $19,935.46 "
01/01/2011,"1,286.10", $500.00 , $500.00 ,0.3888,16.2408," $20,887.24 "
01/02/2011,"1,327.20", $500.00 , $500.00 ,0.3767,16.6175," $22,054.74 "
01/03/2011,"1,325.80", $500.00 , $500.00 ,0.3771,16.9946," $22,531.48 "
01/04/2011,"1,363.60", $500.00 , $500.00 ,0.3667,17.3613," $23,673.87 "
01/05/2011,"1,345.20", $500.00 , $500.00 ,0.3717,17.7330," $23,854.42 "
01/06/2011,"1,320.60", $500.00 , $500.00 ,0.3786,18.1116," $23,918.19 "
01/07/2011,"1,292.30", $500.00 , $500.00 ,0.3869,18.4985," $23,905.63 "
01/08/2011,"1,218.90", $500.00 , $500.00 ,0.4102,18.9087," $23,047.84 "
01/09/2011,"1,131.40", $500.00 , $500.00 ,0.4419,19.3507," $21,893.33 "
01/10/2011,"1,253.30", $500.00 , $500.00 ,0.3989,19.7496," $24,752.17 "
01/11/2011,"1,247.00", $500.00 , $500.00 ,0.4010,20.1506," $25,127.75 "
01/12/2011,"1,257.60", $500.00 , $500.00 ,0.3976,20.5481," $25,841.35 "
01/01/2012,"1,312.40", $500.00 , $500.00 ,0.3810,20.9291," $27,467.39 "
01/02/2012,"1,365.70", $500.00 , $500.00 ,0.3661,21.2952," $29,082.91 "
01/03/2012,"1,408.50", $500.00 , $500.00 ,0.3550,21.6502," $30,494.34 "
01/04/2012,"1,397.90", $500.00 , $500.00 ,0.3577,22.0079," $30,764.85 "
01/05/2012,"1,310.30", $500.00 , $500.00 ,0.3816,22.3895," $29,336.96 "
01/06/2012,"1,362.20", $500.00 , $500.00 ,0.3671,22.7566," $30,998.97 "
01/07/2012,"1,379.30", $500.00 , $500.00 ,0.3625,23.1191," $31,888.11 "
01/08/2012,"1,406.60", $500.00 , $500.00 ,0.3555,23.4745," $33,019.26 "
01/09/2012,"1,440.70", $500.00 , $500.00 ,0.3471,23.8216," $34,319.74 "
01/10/2012,"1,412.20", $500.00 , $500.00 ,0.3541,24.1756," $34,140.83 "
01/11/2012,"1,416.20", $500.00 , $500.00 ,0.3531,24.5287," $34,737.53 "
01/12/2012,"1,426.20", $500.00 , $500.00 ,0.3506,24.8793," $35,482.82 "
01/01/2013,"1,498.10", $500.00 , $500.00 ,0.3338,25.2130," $37,771.64 "
01/02/2013,"1,514.70", $500.00 , $500.00 ,0.3301,25.5431," $38,690.17 "
01/03/2013,"1,569.20", $500.00 , $500.00 ,0.3186,25.8618," $40,582.27 "
01/04/2013,"1,597.60", $500.00 , $500.00 ,0.3130,26.1747," $41,816.75 "
01/05/2013,"1,630.70", $500.00 , $500.00 ,0.3066,26.4813," $43,183.13 "
01/06/2013,"1,606.30", $500.00 , $500.00 ,0.3113,26.7926," $43,036.99 "
01/07/2013,"1,685.70", $500.00 , $500.00 ,0.2966,27.0892," $45,664.32 "
01/08/2013,"1,633.00", $500.00 , $500.00 ,0.3062,27.3954," $44,736.72 "
01/09/2013,"1,681.50", $500.00 , $500.00 ,0.2974,27.6928," $46,565.40 "
01/10/2013,"1,756.50", $500.00 , $500.00 ,0.2847,27.9774," $49,142.35 "
01/11/2013,"1,805.80", $500.00 , $500.00 ,0.2769,28.2543," $51,021.64 "
