Date,Price,Aporte,Aporte Neto,Titulos Comprados,Tit Acumulados,Valor Neto
01/01/2015,"1,994.99", $500.00 , $202.75 ,0.1016,0.102, $202.75 
01/02/2015,"2,104.50", $500.00 , $227.75 ,0.1082,0.210, $441.63 
01/03/2015,"2,067.89", $500.00 , $227.75 ,0.1101,0.320, $661.70 
01/04/2015,"2,085.51", $500.00 , $227.75 ,0.1092,0.429, $895.09 
01/05/2015,"2,107.39", $500.00 , $227.75 ,0.1081,0.537," $1,132.23 "
01/06/2015,"2,063.11", $500.00 , $227.75 ,0.1104,0.648," $1,336.19 "
01/07/2015,"2,103.84", $500.00 , $227.75 ,0.1083,0.756," $1,590.31 "
01/08/2015,"1,972.18", $500.00 , $227.75 ,0.1155,0.871," $1,718.54 "
01/09/2015,"1,920.03", $500.00 , $227.75 ,0.1186,0.990," $1,900.85 "
01/10/2015,"2,079.36", $500.00 , $227.75 ,0.1095,1.100," $2,286.34 "
01/11/2015,"2,080.41", $500.00 , $227.75 ,0.1095,1.209," $2,515.24 "
01/12/2015,"2,043.94", $500.00 , $227.75 ,0.1114,1.320," $2,698.90 "
01/01/2016,"1,940.24", $500.00 , $431.95 ,0.2226,1.543," $2,993.92 "
01/02/2016,"1,932.23", $500.00 , $431.95 ,0.2235,1.767," $3,413.51 "
01/03/2016,"2,059.74", $500.00 , $431.95 ,0.2097,1.976," $4,070.72 "
01/04/2016,"2,065.30", $500.00 , $431.95 ,0.2091,2.185," $4,513.66 "
01/05/2016,"2,096.96", $500.00 , $431.95 ,0.2060,2.391," $5,014.80 "
01/06/2016,"2,098.86", $500.00 , $431.95 ,0.2058,2.597," $5,451.29 "
01/07/2016,"2,173.60", $500.00 , $431.95 ,0.1987,2.796," $6,077.36 "
01/08/2016,"2,170.95", $500.00 , $431.95 ,0.1990,2.995," $6,501.90 "
01/09/2016,"2,168.27", $500.00 , $431.95 ,0.1992,3.194," $6,925.83 "
01/10/2016,"2,126.15", $500.00 , $431.95 ,0.2032,3.397," $7,223.24 "
01/11/2016,"2,198.81", $500.00 , $431.95 ,0.1964,3.594," $7,902.04 "
01/12/2016,"2,238.83", $500.00 , $431.95 ,0.1929,3.787," $8,477.81 "
01/01/2017,"2,278.87", $500.00 , $500.00 ,0.2194,4.006," $9,129.43 "
01/02/2017,"2,363.64", $500.00 , $500.00 ,0.2115,4.218," $9,969.03 "
01/03/2017,"2,362.72", $500.00 , $500.00 ,0.2116,4.429," $10,465.15 "
01/04/2017,"2,384.20", $500.00 , $500.00 ,0.2097,4.639," $11,060.29 "
01/05/2017,"2,411.80", $500.00 , $500.00 ,0.2073,4.846," $11,688.33 "
01/06/2017,"2,423.41", $500.00 , $500.00 ,0.2063,5.053," $12,244.59 "
01/07/2017,"2,470.30", $500.00 , $500.00 ,0.2024,5.255," $12,981.51 "
01/08/2017,"2,471.65", $500.00 , $500.00 ,0.2023,5.457," $13,488.61 "
01/09/2017,"2,519.36", $500.00 , $500.00 ,0.1985,5.656," $14,248.98 "
01/10/2017,"2,575.26", $500.00 , $500.00 ,0.1942,5.850," $15,065.13 "
01/11/2017,"2,647.58", $500.00 , $500.00 ,0.1889,6.039," $15,988.20 "
01/12/2017,"2,673.61", $500.00 , $500.00 ,0.1870,6.226," $16,645.39 "
01/01/2018,"2,823.81", $500.00 , $500.00 ,0.1771,6.403," $18,080.51 "
01/02/2018,"2,713.83", $500.00 , $500.00 ,0.1842,6.587," $17,876.32 "
01/03/2018,"2,640.87", $500.00 , $500.00 ,0.1893,6.776," $17,895.73 "
01/04/2018,"2,648.05", $500.00 , $500.00 ,0.1888,6.965," $18,444.38 "
