Date,Price,Aporte,Aporte Neto,Titulos Comprados,Tit Acumulados,Valor Neto
01/01/2008,"1,378.50", $500.00 , $29.50 ,0.0214,0.0214, $29.50 
01/02/2008,"1,330.60", $500.00 , $54.50 ,0.0410,0.0624, $82.97 
01/03/2008,"1,322.70", $500.00 , $54.50 ,0.0412,0.1036, $136.98 
01/04/2008,"1,385.60", $500.00 , $54.50 ,0.0393,0.1429, $198.00 
01/05/2008,"1,400.40", $500.00 , $54.50 ,0.0389,0.1818, $254.61 
01/06/2008,"1,280.00", $500.00 , $54.50 ,0.0426,0.2244, $287.22 
01/07/2008,"1,267.40", $500.00 , $54.50 ,0.0430,0.2674, $338.89 
01/08/2008,"1,282.80", $500.00 , $54.50 ,0.0425,0.3099, $397.51 
01/09/2008,"1,166.40", $500.00 , $54.50 ,0.0467,0.3566, $415.94 
01/10/2008,968.8, $500.00 , $54.50 ,0.0563,0.4129, $399.98 
01/11/2008,896.2, $500.00 , $54.50 ,0.0608,0.4737, $424.50 
01/12/2008,903.2, $500.00 , $54.50 ,0.0603,0.5340, $482.32 
01/01/2009,825.9, $500.00 , $388.60 ,0.4705,1.0045, $829.64 
01/02/2009,735.1, $500.00 , $388.60 ,0.5286,1.5332," $1,127.03 "
01/03/2009,797.9, $500.00 , $388.60 ,0.4870,2.0202," $1,611.91 "
01/04/2009,872.8, $500.00 , $388.60 ,0.4452,2.4654," $2,151.82 "
01/05/2009,919.1, $500.00 , $388.60 ,0.4228,2.8882," $2,654.57 "
01/06/2009,919.3, $500.00 , $388.60 ,0.4227,3.3109," $3,043.75 "
01/07/2009,987.5, $500.00 , $388.60 ,0.3935,3.7045," $3,658.16 "
01/08/2009,"1,020.60", $500.00 , $388.60 ,0.3808,4.0852," $4,169.37 "
01/09/2009,"1,057.10", $500.00 , $388.60 ,0.3676,4.4528," $4,707.09 "
01/10/2009,"1,036.20", $500.00 , $388.60 ,0.3750,4.8279," $5,002.62 "
01/11/2009,"1,095.60", $500.00 , $388.60 ,0.3547,5.1825," $5,678.00 "
01/12/2009,"1,115.10", $500.00 , $388.60 ,0.3485,5.5310," $6,167.66 "
01/01/2010,"1,073.90", $500.00 , $500.00 ,0.4656,5.9966," $6,439.78 "
01/02/2010,"1,104.50", $500.00 , $500.00 ,0.4527,6.4493," $7,123.27 "
01/03/2010,"1,169.40", $500.00 , $500.00 ,0.4276,6.8769," $8,041.83 "
01/04/2010,"1,186.70", $500.00 , $500.00 ,0.4213,7.2982," $8,660.80 "
01/05/2010,"1,089.40", $500.00 , $500.00 ,0.4590,7.7572," $8,450.69 "
01/06/2010,"1,030.70", $500.00 , $500.00 ,0.4851,8.2423," $8,495.34 "
01/07/2010,"1,101.60", $500.00 , $500.00 ,0.4539,8.6962," $9,579.72 "
01/08/2010,"1,049.30", $500.00 , $500.00 ,0.4765,9.1727," $9,624.91 "
01/09/2010,"1,141.20", $500.00 , $500.00 ,0.4381,9.6108," $10,967.88 "
01/10/2010,"1,183.30", $500.00 , $500.00 ,0.4225,10.0334," $11,872.50 "
01/11/2010,"1,180.50", $500.00 , $500.00 ,0.4235,10.4569," $12,344.40 "
01/12/2010,"1,257.60", $500.00 , $500.00 ,0.3976,10.8545," $13,650.63 "
01/01/2011,"1,286.10", $500.00 , $500.00 ,0.3888,11.2433," $14,459.98 "
01/02/2011,"1,327.20", $500.00 , $500.00 ,0.3767,11.6200," $15,422.08 "
01/03/2011,"1,325.80", $500.00 , $500.00 ,0.3771,11.9971," $15,905.82 "
01/04/2011,"1,363.60", $500.00 , $500.00 ,0.3667,12.3638," $16,859.31 "
01/05/2011,"1,345.20", $500.00 , $500.00 ,0.3717,12.7355," $17,131.81 "
01/06/2011,"1,320.60", $500.00 , $500.00 ,0.3786,13.1141," $17,318.52 "
01/07/2011,"1,292.30", $500.00 , $500.00 ,0.3869,13.5010," $17,447.39 "
01/08/2011,"1,218.90", $500.00 , $500.00 ,0.4102,13.9112," $16,956.41 "
01/09/2011,"1,131.40", $500.00 , $500.00 ,0.4419,14.3532," $16,239.18 "
01/10/2011,"1,253.30", $500.00 , $500.00 ,0.3989,14.7521," $18,488.83 "
01/11/2011,"1,247.00", $500.00 , $500.00 ,0.4010,15.1531," $18,895.89 "
01/12/2011,"1,257.60", $500.00 , $500.00 ,0.3976,15.5507," $19,556.52 "
01/01/2012,"1,312.40", $500.00 , $500.00 ,0.3810,15.9316," $20,908.69 "
