Date,Price,Aporte,Aporte Neto,Titulos Comprados,Tit Acumulados,Valor Neto
01/01/2017,"2,278.87", $500.00 , $252.25 ,0.1107,0.1107, $252.25 
01/02/2017,"2,363.64", $500.00 , $277.25 ,0.1173,0.2280, $538.88 
01/03/2017,"2,362.72", $500.00 , $277.25 ,0.1173,0.3453, $815.92 
01/04/2017,"2,384.20", $500.00 , $277.25 ,0.1163,0.4616," $1,100.59 "
01/05/2017,"2,411.80", $500.00 , $277.25 ,0.1150,0.5766," $1,390.58 "
01/06/2017,"2,423.41", $500.00 , $277.25 ,0.1144,0.6910," $1,674.53 "
01/07/2017,"2,470.30", $500.00 , $277.25 ,0.1122,0.8032," $1,984.18 "
01/08/2017,"2,471.65", $500.00 , $277.25 ,0.1122,0.9154," $2,262.51 "
01/09/2017,"2,519.36", $500.00 , $277.25 ,0.1100,1.0254," $2,583.43 "
01/10/2017,"2,575.26", $500.00 , $277.25 ,0.1077,1.1331," $2,918.00 "
01/11/2017,"2,647.58", $500.00 , $277.25 ,0.1047,1.2378," $3,277.20 "
01/12/2017,"2,673.61", $500.00 , $277.25 ,0.1037,1.3415," $3,586.67 "
01/01/2018,"2,823.81", $500.00 , $444.30 ,0.1573,1.4988," $4,232.46 "
01/02/2018,"2,713.83", $500.00 , $444.30 ,0.1637,1.6626," $4,511.92 "
01/03/2018,"2,640.87", $500.00 , $444.30 ,0.1682,1.8308," $4,834.92 "
01/04/2018,"2,648.05", $500.00 , $444.30 ,0.1678,1.9986," $5,292.37 "
01/05/2018,"2,705.27", $500.00 , $444.30 ,0.1642,2.1628," $5,851.03 "
01/06/2018,"2,718.37", $500.00 , $444.30 ,0.1634,2.3263," $6,323.66 "
01/07/2018,"2,816.29", $500.00 , $444.30 ,0.1578,2.4840," $6,995.75 "
01/08/2018,"2,901.52", $500.00 , $444.30 ,0.1531,2.6372," $7,651.76 "
01/09/2018,"2,913.98", $500.00 , $444.30 ,0.1525,2.7896," $8,128.92 "
01/10/2018,"2,711.74", $500.00 , $444.30 ,0.1638,2.9535," $8,009.04 "
01/11/2018,"2,760.17", $500.00 , $444.30 ,0.1610,3.1144," $8,596.38 "
01/12/2018,"2,506.85", $500.00 , $444.30 ,0.1772,3.2917," $8,251.73 "
01/01/2019,"2,704.10", $500.00 , $500.00 ,0.1849,3.4766," $9,401.01 "
01/02/2019,"2,784.49", $500.00 , $500.00 ,0.1796,3.6561," $10,180.50 "
01/03/2019,"2,834.40", $500.00 , $500.00 ,0.1764,3.8325," $10,862.97 "
01/04/2019,"2,945.83", $500.00 , $500.00 ,0.1697,4.0023," $11,790.04 "
01/05/2019,"2,752.06", $500.00 , $500.00 ,0.1817,4.1840," $11,514.51 "
01/06/2019,"2,941.76", $500.00 , $500.00 ,0.1700,4.3539," $12,808.21 "
01/07/2019,"2,980.38", $500.00 , $500.00 ,0.1678,4.5217," $13,476.36 "
01/08/2019,"2,926.46", $500.00 , $500.00 ,0.1709,4.6925," $13,732.55 "
01/09/2019,"2,976.74", $500.00 , $500.00 ,0.1680,4.8605," $14,468.49 "
01/10/2019,"3,037.56", $500.00 , $500.00 ,0.1646,5.0251," $15,264.11 "
01/11/2019,"3,140.98", $500.00 , $500.00 ,0.1592,5.1843," $16,283.81 "
01/12/2019,"3,230.78", $500.00 , $500.00 ,0.1548,5.3391," $17,249.36 "
01/01/2020,"3,225.52", $500.00 , $500.00 ,0.1550,5.4941," $17,721.27 "
01/02/2020,"2,954.22", $500.00 , $500.00 ,0.1692,5.6633," $16,730.73 "
01/03/2020,"2,584.59", $500.00 , $500.00 ,0.1935,5.8568," $15,137.39 "
