Date,Price,Aporte,Aporte Neto,Titulos Comprados,Tit Acumulados,Valor Neto
01/01/2006,"1,280.10", $500.00 ,-$20.00 ,-0.0156,-0.0156, $-20.00 
01/02/2006,"1,280.70", $500.00 , $5.00 ,0.0039,-0.0117, $-15.01 
01/03/2006,"1,294.80", $500.00 , $5.00 ,0.0039,-0.0079, $-10.17 
01/04/2006,"1,310.60", $500.00 , $5.00 ,0.0038,-0.0040, $-5.30 
01/05/2006,"1,270.10", $500.00 , $5.00 ,0.0039,-0.0001, $-0.14 
01/06/2006,"1,270.20", $500.00 , $5.00 ,0.0039,0.0038, $4.86 
01/07/2006,"1,276.70", $500.00 , $5.00 ,0.0039,0.0077, $9.89 
01/08/2006,"1,303.80", $500.00 , $5.00 ,0.0038,0.0116, $15.10 
01/09/2006,"1,335.80", $500.00 , $5.00 ,0.0037,0.0153, $20.47 
01/10/2006,"1,377.90", $500.00 , $5.00 ,0.0036,0.0190, $26.12 
01/11/2006,"1,400.60", $500.00 , $5.00 ,0.0036,0.0225, $31.55 
01/12/2006,"1,418.30", $500.00 , $5.00 ,0.0035,0.0260, $36.94 
01/01/2007,"1,438.20", $500.00 , $376.25 ,0.2616,0.2877, $413.71 
01/02/2007,"1,406.80", $500.00 , $376.25 ,0.2675,0.5551, $780.93 
01/03/2007,"1,420.90", $500.00 , $376.25 ,0.2648,0.8199," $1,165.01 "
01/04/2007,"1,482.40", $500.00 , $376.25 ,0.2538,1.0737," $1,591.68 "
01/05/2007,"1,530.60", $500.00 , $376.25 ,0.2458,1.3195," $2,019.68 "
01/06/2007,"1,503.30", $500.00 , $376.25 ,0.2503,1.5698," $2,359.91 "
01/07/2007,"1,455.30", $500.00 , $376.25 ,0.2585,1.8284," $2,660.81 "
01/08/2007,"1,474.00", $500.00 , $376.25 ,0.2553,2.0836," $3,071.25 "
01/09/2007,"1,526.80", $500.00 , $376.25 ,0.2464,2.3300," $3,557.52 "
