Date,Price,Aporte,Aporte Neto,Titulos Comprados,Tit Acumulados,Valor Neto
01/01/2014,"1,782.60", $500.00 , $178.00 ,0.0999,0.0999, $178.00 
01/02/2014,"1,859.45", $500.00 , $203.00 ,0.1092,0.2090, $388.67 
01/03/2014,"1,872.34", $500.00 , $203.00 ,0.1084,0.3174, $594.37 
01/04/2014,"1,883.95", $500.00 , $203.00 ,0.1078,0.4252, $801.05 
01/05/2014,"1,923.57", $500.00 , $203.00 ,0.1055,0.5307," $1,020.90 "
01/06/2014,"1,960.23", $500.00 , $203.00 ,0.1036,0.6343," $1,243.36 "
01/07/2014,"1,930.67", $500.00 , $203.00 ,0.1051,0.7394," $1,427.61 "
01/08/2014,"2,003.37", $500.00 , $203.00 ,0.1013,0.8408," $1,684.36 "
01/09/2014,"1,972.29", $500.00 , $203.00 ,0.1029,0.9437," $1,861.23 "
01/10/2014,"2,018.05", $500.00 , $203.00 ,0.1006,1.0443," $2,107.42 "
01/11/2014,"2,067.56", $500.00 , $203.00 ,0.0982,1.1425," $2,362.12 "
01/12/2014,"2,058.90", $500.00 , $203.00 ,0.0986,1.2411," $2,555.23 "
01/01/2015,"1,994.99", $500.00 , $425.75 ,0.2134,1.4545," $2,901.66 "
01/02/2015,"2,104.50", $500.00 , $425.75 ,0.2023,1.6568," $3,486.69 "
01/03/2015,"2,067.89", $500.00 , $425.75 ,0.2059,1.8627," $3,851.78 "
01/04/2015,"2,085.51", $500.00 , $425.75 ,0.2041,2.0668," $4,310.35 "
01/05/2015,"2,107.39", $500.00 , $425.75 ,0.2020,2.2688," $4,781.33 "
01/06/2015,"2,063.11", $500.00 , $425.75 ,0.2064,2.4752," $5,106.61 "
01/07/2015,"2,103.84", $500.00 , $425.75 ,0.2024,2.6776," $5,633.18 "
01/08/2015,"1,972.18", $500.00 , $425.75 ,0.2159,2.8934," $5,706.40 "
01/09/2015,"1,920.03", $500.00 , $425.75 ,0.2217,3.1152," $5,981.25 "
01/10/2015,"2,079.36", $500.00 , $425.75 ,0.2048,3.3199," $6,903.35 "
01/11/2015,"2,080.41", $500.00 , $425.75 ,0.2046,3.5246," $7,332.58 "
01/12/2015,"2,043.94", $500.00 , $425.75 ,0.2083,3.7329," $7,629.79 "
01/01/2016,"1,940.24", $500.00 , $500.00 ,0.2577,3.9906," $7,742.69 "
01/02/2016,"1,932.23", $500.00 , $500.00 ,0.2588,4.2494," $8,210.73 "
01/03/2016,"2,059.74", $500.00 , $500.00 ,0.2427,4.4921," $9,252.56 "
01/04/2016,"2,065.30", $500.00 , $500.00 ,0.2421,4.7342," $9,777.54 "
01/05/2016,"2,096.96", $500.00 , $500.00 ,0.2384,4.9726," $10,427.42 "
01/06/2016,"2,098.86", $500.00 , $500.00 ,0.2382,5.2109," $10,936.87 "
01/07/2016,"2,173.60", $500.00 , $500.00 ,0.2300,5.4409," $11,826.33 "
01/08/2016,"2,170.95", $500.00 , $500.00 ,0.2303,5.6712," $12,311.91 "
01/09/2016,"2,168.27", $500.00 , $500.00 ,0.2306,5.9018," $12,796.71 "
01/10/2016,"2,126.15", $500.00 , $500.00 ,0.2352,6.1370," $13,048.13 "
01/11/2016,"2,198.81", $500.00 , $500.00 ,0.2274,6.3644," $13,994.04 "
01/12/2016,"2,238.83", $500.00 , $500.00 ,0.2233,6.5877," $14,748.74 "
01/01/2017,"2,278.87", $500.00 , $500.00 ,0.2194,6.8071," $15,512.52 "
01/02/2017,"2,363.64", $500.00 , $500.00 ,0.2115,7.0186," $16,589.55 "
01/03/2017,"2,362.72", $500.00 , $500.00 ,0.2116,7.2303," $17,083.10 "
01/04/2017,"2,384.20", $500.00 , $500.00 ,0.2097,7.4400," $17,738.40 "
01/05/2017,"2,411.80", $500.00 , $500.00 ,0.2073,7.6473," $18,443.75 "
01/06/2017,"2,423.41", $500.00 , $500.00 ,0.2063,7.8536," $19,032.53 "
01/07/2017,"2,470.30", $500.00 , $500.00 ,0.2024,8.0560," $19,900.79 "
01/08/2017,"2,471.65", $500.00 , $500.00 ,0.2023,8.2583," $20,411.66 "
01/09/2017,"2,519.36", $500.00 , $500.00 ,0.1985,8.4568," $21,305.67 "
01/10/2017,"2,575.26", $500.00 , $500.00 ,0.1942,8.6509," $22,278.40 "
01/11/2017,"2,647.58", $500.00 , $500.00 ,0.1889,8.8398," $23,404.04 "
01/12/2017,"2,673.61", $500.00 , $500.00 ,0.1870,9.0268," $24,134.14 "
01/01/2018,"2,823.81", $500.00 , $500.00 ,0.1771,9.2039," $25,989.96 "
01/02/2018,"2,713.83", $500.00 , $500.00 ,0.1842,9.3881," $25,477.72 "
01/03/2018,"2,640.87", $500.00 , $500.00 ,0.1893,9.5774," $25,292.76 "
01/04/2018,"2,648.05", $500.00 , $500.00 ,0.1888,9.7663," $25,861.53 "
01/05/2018,"2,705.27", $500.00 , $500.00 ,0.1848,9.9511," $26,920.36 "
01/06/2018,"2,718.37", $500.00 , $500.00 ,0.1839,10.1350," $27,550.71 "
01/07/2018,"2,816.29", $500.00 , $500.00 ,0.1775,10.3126," $29,043.13 "
01/08/2018,"2,901.52", $500.00 , $500.00 ,0.1723,10.4849," $30,422.07 "
01/09/2018,"2,913.98", $500.00 , $500.00 ,0.1716,10.6565," $31,052.72 "
01/10/2018,"2,711.74", $500.00 , $500.00 ,0.1844,10.8408," $29,397.55 "
01/11/2018,"2,760.17", $500.00 , $500.00 ,0.1811,11.0220," $30,422.57 "
01/12/2018,"2,506.85", $500.00 , $500.00 ,0.1995,11.2214," $28,130.48 "
01/01/2019,"2,704.10", $500.00 , $500.00 ,0.1849,11.4064," $30,843.91 "
01/02/2019,"2,784.49", $500.00 , $500.00 ,0.1796,11.5859," $32,260.87 "
01/03/2019,"2,834.40", $500.00 , $500.00 ,0.1764,11.7623," $33,339.12 "
01/04/2019,"2,945.83", $500.00 , $500.00 ,0.1697,11.9321," $35,149.80 "
01/05/2019,"2,752.06", $500.00 , $500.00 ,0.1817,12.1137," $33,337.72 "
01/06/2019,"2,941.76", $500.00 , $500.00 ,0.1700,12.2837," $36,135.70 "
01/07/2019,"2,980.38", $500.00 , $500.00 ,0.1678,12.4515," $37,110.10 "
01/08/2019,"2,926.46", $500.00 , $500.00 ,0.1709,12.6223," $36,938.71 "
01/09/2019,"2,976.74", $500.00 , $500.00 ,0.1680,12.7903," $38,073.36 "
01/10/2019,"3,037.56", $500.00 , $500.00 ,0.1646,12.9549," $39,351.27 "
01/11/2019,"3,140.98", $500.00 , $500.00 ,0.1592,13.1141," $41,191.06 "
01/12/2019,"3,230.78", $500.00 , $500.00 ,0.1548,13.2688," $42,868.71 "
01/01/2020,"3,225.52", $500.00 , $500.00 ,0.1550,13.4239," $43,298.91 "
01/02/2020,"2,954.22", $500.00 , $500.00 ,0.1692,13.5931," $40,157.02 "
01/03/2020,"2,584.59", $500.00 , $500.00 ,0.1935,13.7866," $35,632.60 "
01/04/2020,"2,912.43", $500.00 , $500.00 ,0.1717,13.9582," $40,652.39 "
01/05/2020,"3,044.31", $500.00 , $500.00 ,0.1642,14.1225," $42,993.20 "
01/06/2020,"3,100.29", $500.00 , $500.00 ,0.1613,14.2838," $44,283.78 "
01/07/2020,"3,271.12", $500.00 , $500.00 ,0.1529,14.4366," $47,223.87 "
01/08/2020,"3,500.31", $500.00 , $500.00 ,0.1428,14.5795," $51,032.60 "
01/09/2020,"3,363.00", $500.00 , $500.00 ,0.1487,14.7281," $49,530.69 "
01/10/2020,"3,269.96", $500.00 , $500.00 ,0.1529,14.8810," $48,660.39 "
01/11/2020,"3,621.63", $500.00 , $500.00 ,0.1381,15.0191," $54,393.60 "
01/12/2020,"3,756.07", $500.00 , $500.00 ,0.1331,15.1522," $56,912.77 "
01/01/2021,"3,714.24", $500.00 , $351.25 ,0.0946,15.2468," $56,630.20 "
01/02/2021,"3,811.15", $500.00 , $469.05 ,0.1231,15.3699," $58,576.82 "
01/03/2021,"3,972.89", $500.00 , $500.00 ,0.1259,15.4957," $61,562.74 "
01/04/2021,"4,181.17", $500.00 , $500.00 ,0.1196,15.6153," $65,290.18 "
01/05/2021,"4,204.11", $500.00 , $500.00 ,0.1189,15.7342," $66,148.40 "
01/06/2021,"4,297.50", $500.00 , $500.00 ,0.1163,15.8506," $68,117.82 "
01/07/2021,"4,395.26", $500.00 , $500.00 ,0.1138,15.9643," $70,167.37 "
01/08/2021,"4,522.68", $500.00 , $500.00 ,0.1106,16.0749," $72,701.54 "
01/09/2021,"4,307.54", $500.00 , $500.00 ,0.1161,16.1910," $69,743.19 "
01/10/2021,"4,605.38", $500.00 , $500.00 ,0.1086,16.2995," $75,065.51 "
01/11/2021,"4,567.00", $500.00 , $500.00 ,0.1095,16.4090," $74,939.93 "
01/12/2021,"4,766.18", $500.00 , $500.00 ,0.1049,16.5139," $78,708.28 "
01/01/2022,"4,515.55", $500.00 , $500.00 ,0.1107,16.6246," $75,069.40 "
01/02/2022,"4,373.94", $500.00 , $500.00 ,0.1143,16.7390," $73,215.18 "
01/03/2022,"4,530.41", $500.00 , $500.00 ,0.1104,16.8493," $76,334.32 "
01/04/2022,"4,131.93", $500.00 , $500.00 ,0.1210,16.9703," $70,120.21 "
01/05/2022,"4,132.15", $500.00 , $500.00 ,0.1210,17.0913," $70,623.94 "
01/06/2022,"3,785.38", $500.00 , $500.00 ,0.1321,17.2234," $65,197.18 "
01/07/2022,"4,130.29", $500.00 , $500.00 ,0.1211,17.3445," $71,637.71 "
01/08/2022,"3,955.00", $500.00 , $500.00 ,0.1264,17.4709," $69,097.40 "
01/09/2022,"3,585.62", $500.00 , $500.00 ,0.1394,17.6103," $63,144.00 "
01/10/2022,"3,871.98", $500.00 , $500.00 ,0.1291,17.7395," $68,686.89 "
01/11/2022,"4,080.11", $500.00 , $500.00 ,0.1225,17.8620," $72,879.01 "
01/12/2022,"3,839.50", $500.00 , $500.00 ,0.1302,17.9922," $69,081.23 "
01/01/2023,"4,076.60", $500.00 , $500.00 ,0.1227,18.1149," $73,847.19 "
01/02/2023,"3,970.15", $500.00 , $500.00 ,0.1259,18.2408," $72,418.86 "
01/03/2023,"4,109.31", $500.00 , $500.00 ,0.1217,18.3625," $75,457.26 "
01/04/2023,"4,169.48", $500.00 , $500.00 ,0.1199,18.4824," $77,062.13 "
01/05/2023,"4,179.83", $500.00 , $500.00 ,0.1196,18.6021," $77,753.42 "
01/06/2023,"4,450.38", $500.00 , $500.00 ,0.1123,18.7144," $83,286.21 "
01/07/2023,"4,588.96", $500.00 , $500.00 ,0.1090,18.8234," $86,379.65 "
01/08/2023,"4,507.66", $500.00 , $500.00 ,0.1109,18.9343," $85,349.31 "
01/09/2023,"4,288.05", $500.00 , $500.00 ,0.1166,19.0509," $81,691.15 "
01/10/2023,"4,193.80", $500.00 , $500.00 ,0.1192,19.1701," $80,395.61 "
01/11/2023,"4,567.80", $500.00 , $500.00 ,0.1095,19.2796," $88,065.23 "
