Date,Price,Aporte,Aporte Neto,Titulos Comprados,Tit Acumulados,Valor Neto
01/01/2016,"1,940.24", $500.00 , $227.50 ,0.1173,0.1173, $227.50 
01/02/2016,"1,932.23", $500.00 , $252.50 ,0.1307,0.2479, $479.06 
01/03/2016,"2,059.74", $500.00 , $252.50 ,0.1226,0.3705, $763.17 
01/04/2016,"2,065.30", $500.00 , $252.50 ,0.1223,0.4928," $1,017.73 "
01/05/2016,"2,096.96", $500.00 , $252.50 ,0.1204,0.6132," $1,285.84 "
01/06/2016,"2,098.86", $500.00 , $252.50 ,0.1203,0.7335," $1,539.50 "
01/07/2016,"2,173.60", $500.00 , $252.50 ,0.1162,0.8497," $1,846.82 "
01/08/2016,"2,170.95", $500.00 , $252.50 ,0.1163,0.9660," $2,097.07 "
01/09/2016,"2,168.27", $500.00 , $252.50 ,0.1165,1.0824," $2,346.98 "
01/10/2016,"2,126.15", $500.00 , $252.50 ,0.1188,1.2012," $2,553.89 "
01/11/2016,"2,198.81", $500.00 , $252.50 ,0.1148,1.3160," $2,893.67 "
01/12/2016,"2,238.83", $500.00 , $252.50 ,0.1128,1.4288," $3,198.84 "
01/01/2017,"2,278.87", $500.00 , $438.10 ,0.1922,1.6210," $3,694.14 "
01/02/2017,"2,363.64", $500.00 , $438.10 ,0.1853,1.8064," $4,269.66 "
01/03/2017,"2,362.72", $500.00 , $438.10 ,0.1854,1.9918," $4,706.10 "
01/04/2017,"2,384.20", $500.00 , $438.10 ,0.1838,2.1756," $5,186.98 "
01/05/2017,"2,411.80", $500.00 , $438.10 ,0.1816,2.3572," $5,685.13 "
01/06/2017,"2,423.41", $500.00 , $438.10 ,0.1808,2.5380," $6,150.60 "
01/07/2017,"2,470.30", $500.00 , $438.10 ,0.1773,2.7153," $6,707.70 "
01/08/2017,"2,471.65", $500.00 , $438.10 ,0.1773,2.8926," $7,149.47 "
01/09/2017,"2,519.36", $500.00 , $438.10 ,0.1739,3.0665," $7,725.57 "
01/10/2017,"2,575.26", $500.00 , $438.10 ,0.1701,3.2366," $8,335.09 "
01/11/2017,"2,647.58", $500.00 , $438.10 ,0.1655,3.4021," $9,007.26 "
01/12/2017,"2,673.61", $500.00 , $438.10 ,0.1639,3.5659," $9,533.92 "
01/01/2018,"2,823.81", $500.00 , $500.00 ,0.1771,3.7430," $10,569.52 "
01/02/2018,"2,713.83", $500.00 , $500.00 ,0.1842,3.9272," $10,657.86 "
01/03/2018,"2,640.87", $500.00 , $500.00 ,0.1893,4.1166," $10,871.33 "
01/04/2018,"2,648.05", $500.00 , $500.00 ,0.1888,4.3054," $11,400.89 "
01/05/2018,"2,705.27", $500.00 , $500.00 ,0.1848,4.4902," $12,147.24 "
01/06/2018,"2,718.37", $500.00 , $500.00 ,0.1839,4.6741," $12,706.07 "
01/07/2018,"2,816.29", $500.00 , $500.00 ,0.1775,4.8517," $13,663.76 "
01/08/2018,"2,901.52", $500.00 , $500.00 ,0.1723,5.0240," $14,577.27 "
01/09/2018,"2,913.98", $500.00 , $500.00 ,0.1716,5.1956," $15,139.87 "
01/10/2018,"2,711.74", $500.00 , $500.00 ,0.1844,5.3800," $14,589.11 "
01/11/2018,"2,760.17", $500.00 , $500.00 ,0.1811,5.5611," $15,349.66 "
01/12/2018,"2,506.85", $500.00 , $500.00 ,0.1995,5.7606," $14,440.92 "
01/01/2019,"2,704.10", $500.00 , $500.00 ,0.1849,5.9455," $16,077.19 "
01/02/2019,"2,784.49", $500.00 , $500.00 ,0.1796,6.1251," $17,055.15 "
01/03/2019,"2,834.40", $500.00 , $500.00 ,0.1764,6.3015," $17,860.85 "
01/04/2019,"2,945.83", $500.00 , $500.00 ,0.1697,6.4712," $19,063.02 "
01/05/2019,"2,752.06", $500.00 , $500.00 ,0.1817,6.6529," $18,309.10 "
01/06/2019,"2,941.76", $500.00 , $500.00 ,0.1700,6.8228," $20,071.15 "
01/07/2019,"2,980.38", $500.00 , $500.00 ,0.1678,6.9906," $20,834.65 "
01/08/2019,"2,926.46", $500.00 , $500.00 ,0.1709,7.1615," $20,957.71 "
01/09/2019,"2,976.74", $500.00 , $500.00 ,0.1680,7.3294," $21,817.79 "
01/10/2019,"3,037.56", $500.00 , $500.00 ,0.1646,7.4940," $22,763.57 "
01/11/2019,"3,140.98", $500.00 , $500.00 ,0.1592,7.6532," $24,038.60 "
01/12/2019,"3,230.78", $500.00 , $500.00 ,0.1548,7.8080," $25,225.86 "
01/01/2020,"3,225.52", $500.00 , $500.00 ,0.1550,7.9630," $25,684.79 "
01/02/2020,"2,954.22", $500.00 , $500.00 ,0.1692,8.1322," $24,024.43 "
01/03/2020,"2,584.59", $500.00 , $500.00 ,0.1935,8.3257," $21,518.51 "
01/04/2020,"2,912.43", $500.00 , $500.00 ,0.1717,8.4974," $24,748.01 "
01/05/2020,"3,044.31", $500.00 , $500.00 ,0.1642,8.6616," $26,368.64 "
01/06/2020,"3,100.29", $500.00 , $500.00 ,0.1613,8.8229," $27,353.52 "
01/07/2020,"3,271.12", $500.00 , $500.00 ,0.1529,8.9757," $29,360.73 "
01/08/2020,"3,500.31", $500.00 , $500.00 ,0.1428,9.1186," $31,917.88 "
01/09/2020,"3,363.00", $500.00 , $500.00 ,0.1487,9.2673," $31,165.81 "
01/10/2020,"3,269.96", $500.00 , $500.00 ,0.1529,9.4202," $30,803.58 "
01/11/2020,"3,621.63", $500.00 , $500.00 ,0.1381,9.5582," $34,616.37 "
01/12/2020,"3,756.07", $500.00 , $500.00 ,0.1331,9.6913," $36,401.38 "
01/01/2021,"3,714.24", $500.00 , $351.25 ,0.0946,9.7859," $36,347.24 "
01/02/2021,"3,811.15", $500.00 , $469.05 ,0.1231,9.9090," $37,764.65 "
01/03/2021,"3,972.89", $500.00 , $500.00 ,0.1259,10.0348," $39,867.33 "
01/04/2021,"4,181.17", $500.00 , $500.00 ,0.1196,10.1544," $42,457.38 "
01/05/2021,"4,204.11", $500.00 , $500.00 ,0.1189,10.2734," $43,190.32 "
01/06/2021,"4,297.50", $500.00 , $500.00 ,0.1163,10.3897," $44,649.75 "
01/07/2021,"4,395.26", $500.00 , $500.00 ,0.1138,10.5035," $46,165.45 "
01/08/2021,"4,522.68", $500.00 , $500.00 ,0.1106,10.6140," $48,003.80 "
01/09/2021,"4,307.54", $500.00 , $500.00 ,0.1161,10.7301," $46,220.30 "
01/10/2021,"4,605.38", $500.00 , $500.00 ,0.1086,10.8387," $49,916.15 "
01/11/2021,"4,567.00", $500.00 , $500.00 ,0.1095,10.9481," $50,000.17 "
01/12/2021,"4,766.18", $500.00 , $500.00 ,0.1049,11.0530," $52,680.82 "
01/01/2022,"4,515.55", $500.00 , $500.00 ,0.1107,11.1638," $50,410.59 "
01/02/2022,"4,373.94", $500.00 , $500.00 ,0.1143,11.2781," $49,329.69 "
