Date,Price,Aporte,Aporte Neto,Titulos Comprados,Tit Acumulados,Valor Neto
01/01/2019,"2,704.10", $500.00 , $301.75 ,0.1116,0.1116, $301.75 
01/02/2019,"2,784.49", $500.00 , $326.75 ,0.1173,0.2289, $637.47 
01/03/2019,"2,834.40", $500.00 , $326.75 ,0.1153,0.3442, $975.65 
01/04/2019,"2,945.83", $500.00 , $326.75 ,0.1109,0.4551," $1,340.75 "
01/05/2019,"2,752.06", $500.00 , $326.75 ,0.1187,0.5739," $1,579.31 "
01/06/2019,"2,941.76", $500.00 , $326.75 ,0.1111,0.6849," $2,014.92 "
01/07/2019,"2,980.38", $500.00 , $326.75 ,0.1096,0.7946," $2,368.13 "
01/08/2019,"2,926.46", $500.00 , $326.75 ,0.1117,0.9062," $2,652.03 "
01/09/2019,"2,976.74", $500.00 , $326.75 ,0.1098,1.0160," $3,024.35 "
01/10/2019,"3,037.56", $500.00 , $326.75 ,0.1076,1.1236," $3,412.89 "
01/11/2019,"3,140.98", $500.00 , $326.75 ,0.1040,1.2276," $3,855.84 "
01/12/2019,"3,230.78", $500.00 , $326.75 ,0.1011,1.3287," $4,292.83 "
01/01/2020,"3,225.52", $500.00 , $456.70 ,0.1416,1.4703," $4,742.54 "
01/02/2020,"2,954.22", $500.00 , $456.70 ,0.1546,1.6249," $4,800.34 "
01/03/2020,"2,584.59", $500.00 , $456.70 ,0.1767,1.8016," $4,656.43 "
01/04/2020,"2,912.43", $500.00 , $456.70 ,0.1568,1.9584," $5,703.77 "
01/05/2020,"3,044.31", $500.00 , $456.70 ,0.1500,2.1084," $6,418.74 "
01/06/2020,"3,100.29", $500.00 , $456.70 ,0.1473,2.2557," $6,993.47 "
01/07/2020,"3,271.12", $500.00 , $456.70 ,0.1396,2.3954," $7,835.52 "
01/08/2020,"3,500.31", $500.00 , $456.70 ,0.1305,2.5258," $8,841.22 "
01/09/2020,"3,363.00", $500.00 , $456.70 ,0.1358,2.6616," $8,951.09 "
01/10/2020,"3,269.96", $500.00 , $456.70 ,0.1397,2.8013," $9,160.15 "
01/11/2020,"3,621.63", $500.00 , $456.70 ,0.1261,2.9274," $10,601.99 "
01/12/2020,"3,756.07", $500.00 , $456.70 ,0.1216,3.0490," $11,452.25 "
01/01/2021,"3,714.24", $500.00 , $500.00 ,0.1346,3.1836," $11,824.71 "
01/02/2021,"3,811.15", $500.00 , $500.00 ,0.1312,3.3148," $12,633.23 "
01/03/2021,"3,972.89", $500.00 , $500.00 ,0.1259,3.4407," $13,669.37 "
01/04/2021,"4,181.17", $500.00 , $500.00 ,0.1196,3.5602," $14,885.99 "
01/05/2021,"4,204.11", $500.00 , $500.00 ,0.1189,3.6792," $15,467.66 "
01/06/2021,"4,297.50", $500.00 , $500.00 ,0.1163,3.7955," $16,311.26 "
01/07/2021,"4,395.26", $500.00 , $500.00 ,0.1138,3.9093," $17,182.31 "
01/08/2021,"4,522.68", $500.00 , $500.00 ,0.1106,4.0198," $18,180.43 "
01/09/2021,"4,307.54", $500.00 , $500.00 ,0.1161,4.1359," $17,815.61 "
01/10/2021,"4,605.38", $500.00 , $500.00 ,0.1086,4.2445," $19,547.45 "
01/11/2021,"4,567.00", $500.00 , $500.00 ,0.1095,4.3540," $19,884.54 "
01/12/2021,"4,766.18", $500.00 , $500.00 ,0.1049,4.4589," $21,251.76 "
01/01/2022,"4,515.55", $500.00 , $500.00 ,0.1107,4.5696," $20,634.24 "
01/02/2022,"4,373.94", $500.00 , $500.00 ,0.1143,4.6839," $20,487.14 "
01/03/2022,"4,530.41", $500.00 , $500.00 ,0.1104,4.7943," $21,720.03 "
01/04/2022,"4,131.93", $500.00 , $500.00 ,0.1210,4.9153," $20,309.61 "
01/05/2022,"4,132.15", $500.00 , $500.00 ,0.1210,5.0363," $20,810.69 "
01/06/2022,"3,785.38", $500.00 , $500.00 ,0.1321,5.1684," $19,564.26 "
01/07/2022,"4,130.29", $500.00 , $500.00 ,0.1211,5.2894," $21,846.88 "
01/08/2022,"3,955.00", $500.00 , $500.00 ,0.1264,5.4159," $21,419.69 "
01/09/2022,"3,585.62", $500.00 , $500.00 ,0.1394,5.5553," $19,919.19 "
01/10/2022,"3,871.98", $500.00 , $500.00 ,0.1291,5.6844," $22,010.00 "
01/11/2022,"4,080.11", $500.00 , $500.00 ,0.1225,5.8070," $23,693.10 "
01/12/2022,"3,839.50", $500.00 , $500.00 ,0.1302,5.9372," $22,795.89 "
01/01/2023,"4,076.60", $500.00 , $500.00 ,0.1227,6.0599," $24,703.60 "
01/02/2023,"3,970.15", $500.00 , $500.00 ,0.1259,6.1858," $24,558.53 "
01/03/2023,"4,109.31", $500.00 , $500.00 ,0.1217,6.3075," $25,919.34 "
01/04/2023,"4,169.48", $500.00 , $500.00 ,0.1199,6.4274," $26,798.86 "
01/05/2023,"4,179.83", $500.00 , $500.00 ,0.1196,6.5470," $27,365.38 "
01/06/2023,"4,450.38", $500.00 , $500.00 ,0.1123,6.6594," $29,636.68 "
01/07/2023,"4,588.96", $500.00 , $500.00 ,0.1090,6.7683," $31,059.53 "
01/08/2023,"4,507.66", $500.00 , $500.00 ,0.1109,6.8792," $31,009.27 "
01/09/2023,"4,288.05", $500.00 , $500.00 ,0.1166,6.9958," $29,998.52 "
01/10/2023,"4,193.80", $500.00 , $500.00 ,0.1192,7.1151," $29,839.16 "
01/11/2023,"4,567.80", $500.00 , $500.00 ,0.1095,7.2245," $33,000.19 "
01/12/2023,"4,769.83", $500.00 , $500.00 ,0.1048,7.3294," $34,959.77 "
01/01/2024,"4,845.65", $500.00 , $500.00 ,0.1032,7.4325," $36,015.48 "
01/02/2024,"5,096.27", $500.00 , $500.00 ,0.0981,7.5306," $38,378.22 "
01/03/2024,"5,254.35", $500.00 , $500.00 ,0.0952,7.6258," $40,068.66 "
01/04/2024,"5,035.69", $500.00 , $500.00 ,0.0993,7.7251," $38,901.21 "
01/05/2024,"5,277.51", $500.00 , $500.00 ,0.0947,7.8198," $41,269.29 "
01/06/2024,"5,460.48", $500.00 , $500.00 ,0.0916,7.9114," $43,200.08 "
01/07/2024,"5,522.30", $500.00 , $500.00 ,0.0905,8.0019," $44,189.17 "
01/08/2024,"5,648.40", $500.00 , $500.00 ,0.0885,8.0905," $45,698.21 "
01/09/2024,"5,762.48", $500.00 , $500.00 ,0.0868,8.1772," $47,121.18 "
01/10/2024,"5,705.45", $500.00 , $500.00 ,0.0876,8.2649," $47,154.83 "
01/11/2024,"6,032.38", $500.00 , $500.00 ,0.0829,8.3478," $50,356.86 "
01/12/2024,"5,881.63", $500.00 , $500.00 ,0.0850,8.4328," $49,598.44 "
01/01/2025,"6,040.53", $500.00 , $500.00 ,0.0828,8.5155," $51,438.40 "
01/02/2025,"5,954.50", $500.00 , $500.00 ,0.0840,8.5995," $51,205.81 "
01/03/2025,"5,611.85", $500.00 , $500.00 ,0.0891,8.6886," $48,759.19 "
01/04/2025,"5,569.06", $500.00 , $500.00 ,0.0898,8.7784," $48,887.40 "
01/05/2025,"5,911.69", $500.00 , $500.00 ,0.0846,8.8630," $52,395.14 "
01/06/2025,"6,204.95", $500.00 , $500.00 ,0.0806,8.9436," $55,494.30 "
01/07/2025,"6,339.39", $500.00 , $500.00 ,0.0789,9.0224," $57,196.67 "
01/08/2025,"6,460.26", $500.00 , $500.00 ,0.0774,9.0998," $58,787.21 "
01/09/2025,"6,688.46", $500.00 , $500.00 ,0.0748,9.1746," $61,363.79 "
01/10/2025,"6,840.20", $500.00 , $500.00 ,0.0731,9.2477," $63,255.94 "
01/11/2025,"6,849.09", $500.00 , $500.00 ,0.0730,9.3207," $63,838.15 "
01/12/2025,"6,845.50", $500.00 , $500.00 ,0.0730,9.3937," $64,304.69 "
01/01/2026,"6,940.01", $-   , $-   ,0.0000,9.3937," $65,192.49 "
